r,φ,x,y,timestamp,J_t_ABS_Schw,J_r_ABS_Schw,J_φ_ABS_Schw,J_t_SCATT_Schw,J_r_SCATT_Schw,J_φ_SCATT_Schw,J_X_TOTAL_Schw,J_Y_TOTAL_Schw,n
21,1.8188167994467221,-5.155195229956777,20.35740558472594,2024-09-10T12:51:45.745,-1.1666026971798658,-1.1140524929172158,0.4425579984191049,-25.26514290747818,2.944726749278172,308.75555896053527,-14.722581904854632,-1.8398034302109567,1.0278420318582324
22,1.8188167994467221,-5.4006807170975755,21.32680585066527,2024-09-10T12:51:47.220,-1.112494222660187,-1.0568474117190583,0.4021578739942526,-25.314893405706126,2.961121237557076,321.49588775705143,-14.651473907789248,-1.7458736532389727,1.0264506634678394
23,1.8188167994467221,-5.646166204238375,22.2962061166046,2024-09-10T12:51:48.728,-1.0633069227179857,-1.005276238143001,0.3670972311842278,-25.36017036031606,2.975764948155055,334.236419325075,-14.586541073659836,-1.6611254274768088,1.0251857203369612
24,1.8188167994467221,-5.891651691379174,23.265606382543933,2024-09-10T12:51:50.253,-1.0183865161061518,-0.9585411696989439,0.33646792066166037,-25.401584178284715,2.988925804766087,346.9777643525134,-14.527034508311415,-1.5842697406614878,1.0240312792355433
25,1.8188167994467221,-6.137137178519972,24.235006648483264,2024-09-10T12:51:51.777,-0.977191375437379,-0.9159888188360535,0.30954818249325305,-25.439634782016757,3.000819710166668,359.72032925977317,-14.472318084509988,-1.5142487734718464,1.0229739021877198
26,1.8188167994467221,-6.382622665660771,25.20440691442259,2024-09-10T12:51:53.300,-0.9392690271770822,-0.8770788665143647,0.28575831369960414,-25.474735946726348,3.011622551013789,372.46436834350686,-14.421848415844007,-1.4501861085963252,1.022002184550296
27,1.8188167994467221,-6.628108152801571,26.173807180361923,2024-09-10T12:51:54.825,-0.9042383459428376,-0.8413605549312595,0.26462822184015616,-25.507233908901167,3.021479038769066,385.21004366210053,-14.375159649406186,-1.391349510427966,1.0211063988943672
28,1.8188167994467221,-6.873593639942369,27.143207446301254,2024-09-10T12:51:56.354,-0.8717758859517969,-0.8084548212019419,0.2457733434103547,-25.537420575419453,3.030509314730897,397.9574382654415,-14.331849959494374,-1.3371222609995477,1.020278198609263
5,2.14951076298249,-2.7347407906121335,4.185832391312643,2024-09-10T12:51:57.882,-5.528153822511816,-6.986684417539308,8.67639683097669,-14.745754601126416,0.00031940757405416137,63.853285608693426,-8.322704289332174,-13.782745835165585,0.9229202369707055
6,2.14951076298249,-3.28168894873456,5.022998869575172,2024-09-10T12:51:59.904,-3.9718898447927433,-4.763043575533845,4.827248486379163,-17.531819022622294,1.729787472868918,83.39310159995705,-10.65015279367805,-10.581333327242529,0.9494248223737792
